id,name,cultural_enrichment,approximate_cost,location,season,activity_type,population_density,terrain_type,camping_available,network_availability,description
85,Река Катунь,0,18000.00,Республика Алтай,summer,Сплав,8,Речная,1,40,"Совершите захватывающий сплав по реке Катунь, где вас ждут пороги, водопады и живописные горные пейзажи. Вас ждут экстремальные приключения и возможность насладиться красотой Алтая."
86,Красные скалы,0,12000.00,Красноярский край,summer,Активный,15,Скальная,1,65,"Исследуйте живописные скалы-останцы, где вас ждут пешие прогулки, скалолазание и возможность насладиться красотой природы."
87,Чарские пески,0,17000.00,Забайкальский край,summer,Экологический,2,Пустынная,1,30,"Посетите уникальную песчаную пустыню, окруженную горами и тайгой. Вас ждут прогулки по дюнам, возможность увидеть редкие растения и животных."
88,Озеро Эльтон,0,11000.00,Волгоградская область,summer,Экологический,8,Соленая,1,65,"Посетите крупнейшее соленое озеро Европы, где вас ждут необычные соляные образования, лечебные грязи и возможность увидеть редких птиц."
89,Дивногорье,1,11000.00,Воронежская область,summer,Культурный,25,Меловая,1,80,"Посетите музей-заповедник Дивногорье, где вас ждут меловые столбы, пещерные церкви и возможность познакомиться с историей и культурой региона."
90,Самарская Лука,0,12000.00,Самарская область,summer,Активный,20,Равнинная,1,70,"Исследуйте живописный изгиб реки Волги, где вас ждут горы, леса, озера и возможность насладиться красотой природы."
91,Кум-Торкалинский каньон,0,14000.00,Дагестан,summer,Активный,10,Горная,1,60,"Исследуйте глубокий каньон с отвесными скалами, где вас ждут пешие прогулки, возможность увидеть редкие виды птиц и насладиться красотой природы."
92,Ординская пещера,0,18000.00,Пермский край,summer,Экстрим,5,Пещерная,1,35,"Посетите одну из самых длинных подводных пещер в мире, где вас ждут дайвинг, спелеология и возможность увидеть уникальные подземные ландшафты."
93,Плато Бермамыт,0,15000.00,Карачаево-Черкесия,summer,Активный,8,Горная,1,50,"Полюбуйтесь панорамными видами на Эльбрус и Кавказские горы с плато Бермамыт. Вас ждут пешие прогулки, возможность увидеть редкие виды птиц и насладиться красотой природы."
94,Гора Ахун,1,12000.00,Краснодарский край,summer,Культурный,30,Горная,1,80,"Посетите гору Ахун, где вас ждут смотровая башня, пещеры, живописные виды на побережье и возможность насладиться красотой природы."
95,Озеро Абрау,1,14000.00,Краснодарский край,summer,Культурный,35,Озерная,1,85,"Посетите живописное озеро Абрау, где вас ждут винодельни, прогулки по набережной и возможность насладиться красотой природы."
96,Река Чусовая,0,16000.00,"Свердловская область, Пермский край",summer,Сплав,10,Речная,1,60,"Совершите сплав по реке Чусовой, где вас ждут живописные скалы, пещеры и возможность насладиться красотой природы."
97,Озеро Баскунчак,0,11000.00,Астраханская область,summer,Экологический,10,Соленая,1,60,"Посетите соленое озеро Баскунчак, где добывают соль и можно увидеть необычные соляные образования. Вас ждут прогулки по берегу, купание в соленой воде и возможность познакомиться с уникальной природой региона."
98,Соляные пещеры Соль-Илецка,0,9000.00,Оренбургская область,summer,Оздоровительный,30,Пещерная,0,75,"Посетите соляные пещеры, где вас ждут лечебный микроклимат, соляные озера и возможность улучшить свое здоровье. Вас ждут экскурсии, купание в соляных озерах и возможность отдохнуть в необычной обстановке."
99,Янтарный карьер,1,8000.00,Калининградская область,summer,Индустриальный,25,Карьер,0,85,"Посетите янтарный карьер, где добывают янтарь, и узнайте больше о процессе добычи и обработки этого уникального камня. Вас ждут экскурсии, возможность увидеть карьер и приобрести изделия из янтаря."
100,Кунгурская ледяная пещера,0,11000.00,Пермский край,summer,Пещерная,25,Пещерная,0,70,"Посетите Кунгурскую ледяную пещеру, где вас ждут ледяные сталактиты, сталагмиты и гроты. Вас ждут экскурсии, возможность увидеть уникальные подземные ландшафты и насладиться красотой пещеры."
101,Кострома,1,12000.00,Костромская область,summer,Культурный,30,Равнинная,0,80,"Откройте для себя город на берегу Волги, где вас ждут монастыри, церкви, музеи и возможность познакомиться с историей и культурой Золотого кольца."
